source_text,suggested_ar,locations,area,has_pre_filled,disposition
Enable Allow Partial Reservation in the Stock Settings to reserve partial stock.,,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:1720,stock,0,APPROVE
Enable Parallel Reposting,تمكين إعادة الترحيل المتوازي,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None,stock,1,APPROVE
Enable Stock Reservation,تمكين حجز المخزون,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,1,APPROVE
Enable it if users want to consider rejected materials to dispatch.,,erpnext/stock/doctype/pick_list/pick_list.json:None,stock,0,APPROVE
End Transit,إنهاء العبور,erpnext/stock/doctype/stock_entry/stock_entry.js:292,stock,1,APPROVE
"Enter an Item Code, the name will be auto-filled the same as Item Code on clicking inside the Item Name field.",,erpnext/stock/doctype/item/item.js:1034,stock,0,APPROVE
Enter the opening stock units.,,erpnext/stock/doctype/item/item.js:1060,stock,0,APPROVE
Error while reposting item valuation,,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.py:516,stock,0,APPROVE
Errors Notification,إشعار الأخطاء,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None,stock,1,APPROVE
Example of a linked document: {0},,erpnext/stock/doctype/item/item.py:993,stock,0,APPROVE
Example: Serial No {0} reserved in {1}.,,erpnext/stock/stock_ledger.py:2311,stock,0,APPROVE
Expected Balance Qty,كمية الرصيد المتوقعة,erpnext/stock/report/incorrect_balance_qty_after_transaction/incorrect_balance_qty_after_transaction.py:119,stock,1,APPROVE
Expected Stock Value,قيمة المخزون المتوقعة,erpnext/stock/report/incorrect_stock_value_report/incorrect_stock_value_report.py:129,stock,1,APPROVE
Expiry,انتهاء الصلاحية,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,1,APPROVE
FIFO Queue,طابور FIFO,erpnext/stock/doctype/stock_closing_balance/stock_closing_balance.json:None,stock,1,APPROVE
FIFO Queue vs Qty After Transaction Comparison,مقارنة طابور FIFO مع الكمية بعد المعاملة,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.json:None,stock,1,APPROVE
"FIFO Stock Queue (qty, rate)",,erpnext/stock/doctype/serial_and_batch_entry/serial_and_batch_entry.json:None; erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.json:None,stock,0,APPROVE
FIFO/LIFO Queue,طابور FIFO/LIFO,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:179; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:218; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:121,stock,1,APPROVE
Fetch Value From,جلب القيمة من,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json:None,stock,1,APPROVE
Finished Good Quantity ,كمية المنتج النهائي,erpnext/stock/doctype/stock_entry/stock_entry.json:None,stock,1,APPROVE
Finished Item {0} does not match with Work Order {1},,erpnext/stock/doctype/stock_entry/stock_entry.py:1594,stock,0,APPROVE
Fix SABB Entry,,erpnext/stock/report/incorrect_serial_and_batch_bundle/incorrect_serial_and_batch_bundle.js:28,stock,0,APPROVE
For quantity {0} should not be greater than allowed quantity {1},,erpnext/stock/doctype/stock_entry/stock_entry.py:1626,stock,0,APPROVE
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",,erpnext/stock/doctype/item_customer_detail/item_customer_detail.json:None,stock,0,APPROVE
"For the item {0}, the quantity should be {1} according to the BOM {2}.",,erpnext/stock/doctype/stock_entry/stock_entry.py:930,stock,0,APPROVE
Formula Based Criteria,معيار مبني على صيغة,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None,stock,1,APPROVE
From Voucher Detail No,من رقم تفاصيل السند,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None,stock,1,APPROVE
From Voucher No,من رقم السند,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None; erpnext/stock/report/reserved_stock/reserved_stock.js:103; erpnext/stock/report/reserved_stock/reserved_stock.py:164,stock,1,APPROVE
From Voucher Type,من نوع السند,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None; erpnext/stock/report/reserved_stock/reserved_stock.js:92; erpnext/stock/report/reserved_stock/reserved_stock.py:158,stock,1,APPROVE
From and To dates are required,,erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py:166,stock,0,APPROVE
G - D,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:258; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:161,stock,0,APPROVE
GL reposting index,فهرس إعادة ترحيل دفتر الأستاذ العام,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.json:None,stock,1,APPROVE
GS1,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,APPROVE
GTIN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,APPROVE
Generate Stock Closing Entry,إنشاء قيد إغلاق المخزون,erpnext/stock/doctype/stock_closing_entry/stock_closing_entry.js:12,stock,1,APPROVE
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.",,erpnext/stock/doctype/packing_slip/packing_slip.json:None,stock,0,APPROVE
Get stops from,,erpnext/stock/doctype/delivery_trip/delivery_trip.js:69,stock,0,APPROVE
Goods,بضائع,erpnext/stock/doctype/shipment/shipment.json:None,stock,1,APPROVE
H - F,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:268; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:171,stock,0,APPROVE
Has Corrective Cost,له تكلفة تصحيحية,erpnext/stock/doctype/landed_cost_taxes_and_charges/landed_cost_taxes_and_charges.json:None,stock,1,APPROVE
Has Operating Cost,له تكلفة تشغيل,erpnext/stock/doctype/landed_cost_taxes_and_charges/landed_cost_taxes_and_charges.json:None,stock,1,APPROVE
Have Default Naming Series for Batch ID?,,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,0,APPROVE
Height (cm),الارتفاع (سم),erpnext/stock/doctype/shipment_parcel/shipment_parcel.json:None; erpnext/stock/doctype/shipment_parcel_template/shipment_parcel_template.json:None,stock,1,APPROVE
Here are the options to proceed:,,erpnext/stock/stock_ledger.py:2030,stock,0,APPROVE
"Hi,",,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.py:518,stock,0,APPROVE
I - J,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:283; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:186,stock,0,APPROVE
I - K,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:293; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:196,stock,0,APPROVE
ISBN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,APPROVE
ISBN-10,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,APPROVE
ISBN-13,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,APPROVE
ISSN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,APPROVE
"If checked, picked qty won't automatically be fulfilled on submit of pick list.",,erpnext/stock/doctype/pick_list/pick_list.json:None,stock,0,APPROVE
If enabled then system won't apply the pricing rule on the delivery note which will be create from the pick list,,erpnext/stock/doctype/pick_list/pick_list.json:None,stock,0,APPROVE
If enabled then system won't override the picked qty / batches / serial numbers / warehouse.,,erpnext/stock/doctype/pick_list/pick_list.json:None,stock,0,APPROVE
"If enabled, do not update serial / batch values in the stock transactions on creation of auto Serial 
 / Batch Bundle. ",,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,0,REVIEW
"If not, you can Cancel / Submit this entry",,erpnext/stock/stock_ledger.py:2040,stock,0,APPROVE
"If yes, then this warehouse will be used to store rejected materials",,erpnext/stock/doctype/warehouse/warehouse.json:None,stock,0,APPROVE
Ignore Closing Balance,تجاهل الرصيد الختامي,erpnext/stock/report/stock_balance/stock_balance.js:125,stock,1,APPROVE
Ignore Empty Stock,تجاهل المخزون الفارغ,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.js:143,stock,1,APPROVE
In Transit Transfer,نقل قيد العبور,erpnext/stock/doctype/material_request/material_request.js:487,stock,1,APPROVE
In Transit Warehouse,,erpnext/stock/doctype/material_request/material_request.js:456,stock,0,APPROVE
Include Expired Batches,تضمين الدفعات المنتهية,erpnext/stock/report/available_batch_report/available_batch_report.js:80,stock,1,APPROVE
Include Zero Stock Items,تضمين أصناف المخزون الصفري,erpnext/stock/report/stock_balance/stock_balance.js:131,stock,1,APPROVE
Incompatible Setting Detected,تم اكتشاف إعداد غير متوافق,erpnext/stock/doctype/stock_settings/stock_settings.js:68,stock,1,APPROVE
Incorrect Balance Qty After Transaction,كمية الرصيد غير الصحيحة بعد المعاملة,erpnext/stock/report/incorrect_balance_qty_after_transaction/incorrect_balance_qty_after_transaction.json:None,stock,1,APPROVE
Incorrect Check in (group) Warehouse for Reorder,,erpnext/stock/doctype/item/item.py:532,stock,0,APPROVE
Incorrect Component Quantity,,erpnext/stock/doctype/stock_entry/stock_entry.py:935,stock,0,APPROVE
Incorrect Invoice,فاتورة غير صحيحة,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:135,stock,1,APPROVE
Incorrect Reference Document (Purchase Receipt Item),,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:108,stock,0,APPROVE
Incorrect Serial No Valuation,تقييم الرقم التسلسلي غير الصحيح,erpnext/stock/report/incorrect_serial_no_valuation/incorrect_serial_no_valuation.json:None,stock,1,APPROVE
Incorrect Serial and Batch Bundle,مجموعة التسلسل والدفعة غير الصحيحة,erpnext/stock/report/incorrect_serial_and_batch_bundle/incorrect_serial_and_batch_bundle.json:None,stock,1,APPROVE
Incorrect Stock Value Report,تقرير قيمة المخزون غير الصحيحة,erpnext/stock/report/incorrect_stock_value_report/incorrect_stock_value_report.json:None,stock,1,APPROVE
Incorrect Type of Transaction,,erpnext/stock/serial_batch_bundle.py:136,stock,0,APPROVE
Individual Stock Ledger Entry cannot be cancelled.,,erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py:347,stock,0,APPROVE
Insufficient Capacity,سعة غير كافية,erpnext/stock/doctype/putaway_rule/putaway_rule.py:82; erpnext/stock/doctype/putaway_rule/putaway_rule.py:325,stock,1,APPROVE
Insufficient Stock for Batch,مخزون غير كاف للدفعة,erpnext/stock/stock_ledger.py:2217,stock,1,APPROVE
Invalid Document,مستند غير صالح,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:122,stock,1,APPROVE
Invalid Formula,صيغة غير صالحة,erpnext/stock/doctype/quality_inspection/quality_inspection.py:319; erpnext/stock/doctype/quality_inspection/quality_inspection.py:324,stock,1,APPROVE
Invalid Item Defaults,,erpnext/stock/doctype/item/item.py:1408,stock,0,APPROVE
Invalid Priority,,erpnext/stock/doctype/putaway_rule/putaway_rule.py:61,stock,0,APPROVE
Invalid Query,,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:435,stock,0,APPROVE
Invalid Serial and Batch Bundle,,erpnext/stock/doctype/stock_entry/stock_entry.py:1669,stock,0,APPROVE
Invalid Source and Target Warehouse,,erpnext/stock/doctype/stock_entry/stock_entry.py:969; erpnext/stock/doctype/stock_entry/stock_entry.py:991,stock,0,APPROVE
Invalid Warehouse,مستودع غير صالح,erpnext/stock/doctype/putaway_rule/putaway_rule.py:70; erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:256,stock,1,APPROVE
Invalid search query,,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:435,stock,0,APPROVE
Inventory Account Currency,عملة حساب المخزون,erpnext/stock/doctype/item_default/item_default.json:None,stock,1,APPROVE
Inventory Dimension Negative Stock,مخزون سالب لبُعد المخزون,erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py:160,stock,1,APPROVE
Inventory Dimension key,مفتاح بُعد المخزون,erpnext/stock/doctype/stock_closing_balance/stock_closing_balance.json:None,stock,1,APPROVE
Inventory Settings,إعدادات المخزون,erpnext/stock/doctype/item/item.json:None,stock,1,APPROVE
Is Additional Transfer Entry,قيد نقل إضافي,erpnext/stock/doctype/stock_entry/stock_entry.json:None,stock,1,APPROVE
Is Adjustment Entry,قيد تسوية,erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.json:None,stock,1,APPROVE
Is Finished Item,صنف نهائي,erpnext/stock/doctype/stock_entry_detail/stock_entry_detail.json:None,stock,1,APPROVE
Is Group Warehouse,مستودع مجموعة,erpnext/stock/doctype/warehouse/warehouse.json:None,stock,1,APPROVE
Is Outward,صادر,erpnext/stock/doctype/serial_and_batch_entry/serial_and_batch_entry.json:None,stock,1,APPROVE
Is Packed,معبأ,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.json:None,stock,1,APPROVE
Is Rejected,مرفوض,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.json:None,stock,1,APPROVE
Is Rejected Warehouse,مستودع مرفوضات,erpnext/stock/doctype/warehouse/warehouse.json:None,stock,1,APPROVE
Is Scrap Item,صنف هالك,erpnext/stock/doctype/stock_entry_detail/stock_entry_detail.json:None; erpnext/subcontracting/doctype/subcontracting_receipt_item/subcontracting_receipt_item.json:None,stock,1,APPROVE
Is Subcontracted Item,بند منفذ من الباطن,erpnext/stock/doctype/item/item.json:None,stock,1,APPROVE
It can take upto few hours for accurate stock values to be visible after merging items.,,erpnext/stock/doctype/item/item.py:589,stock,0,APPROVE
Item Information,معلومات الصنف,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None,stock,1,APPROVE
"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, Batch, UOM, Qty, and Dates.",,erpnext/stock/doctype/item_price/item_price.py:140,stock,0,APPROVE
Item Warehouse based reposting has been enabled.,,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.py:85,stock,0,APPROVE
Item rate has been updated to zero as Allow Zero Valuation Rate is checked for item {0},,erpnext/stock/doctype/stock_entry/stock_entry.py:1074,stock,0,APPROVE
Item valuation rate is recalculated considering landed cost voucher amount,,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js:9,stock,0,APPROVE
Item valuation reposting in progress. Report might show incorrect item valuation.,,erpnext/stock/utils.py:559,stock,0,APPROVE
Item {0} is already reserved/delivered against Sales Order {1}.,,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:608,stock,0,APPROVE
Item {0} must be a Non-Stock Item,,erpnext/stock/get_item_details.py:347,stock,0,APPROVE
Item {0} not found in 'Raw Materials Supplied' table in {1} {2},,erpnext/stock/doctype/stock_entry/stock_entry.py:1407,stock,0,APPROVE
Item {0} not found.,,erpnext/stock/doctype/item_price/item_price.py:56,stock,0,APPROVE
Item {} does not exist.,,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py:1434,stock,0,APPROVE
Item/Item Code required to get Item Tax Template.,,erpnext/stock/get_item_details.py:714,stock,0,APPROVE
Items Catalogue,كتالوج الأصناف,erpnext/stock/workspace/stock/stock.json:None,stock,1,APPROVE
Items rate has been updated to zero as Allow Zero Valuation Rate is checked for the following items: {0},,erpnext/stock/doctype/stock_entry/stock_entry.py:1070,stock,0,APPROVE
Items to Be Repost,الأصناف المطلوب إعادة ترحيلها,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.json:None,stock,1,APPROVE
JAN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,APPROVE
Landed Cost,التكلفة الإضافية,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.json:None,stock,1,APPROVE
Landed Cost Id,معرف التكلفة الإضافية,erpnext/stock/report/landed_cost_report/landed_cost_report.py:18,stock,1,APPROVE
Landed Cost Report,تقرير التكلفة الإضافية,erpnext/stock/report/landed_cost_report/landed_cost_report.json:None,stock,1,APPROVE
Landed Cost Vendor Invoice,فاتورة مورد التكلفة الإضافية,erpnext/stock/doctype/landed_cost_vendor_invoice/landed_cost_vendor_invoice.json:None,stock,1,APPROVE
"Last Name, Email or Phone/Mobile of the user are mandatory to continue.",,erpnext/stock/doctype/shipment/shipment.js:275,stock,0,APPROVE
Learn Inventory Management,,erpnext/stock/workspace/stock/stock.json:None,stock,0,APPROVE
Length (cm),الطول (سم),erpnext/stock/doctype/shipment_parcel/shipment_parcel.json:None; erpnext/stock/doctype/shipment_parcel_template/shipment_parcel_template.json:None,stock,1,APPROVE
Limit timeslot for Stock Reposting,,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None,stock,0,APPROVE
Limits don't apply on,,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None,stock,0,APPROVE
Linked with submitted documents,,erpnext/stock/doctype/item/item.py:997,stock,0,APPROVE
Locked,مقفل,erpnext/stock/doctype/delivery_stop/delivery_stop.json:None,stock,1,APPROVE
Log the selling and buying rate of an Item,,erpnext/stock/doctype/item_price/item_price.json:None,stock,0,APPROVE
Make Lead Time,إنشاء مدة التوريد,erpnext/stock/doctype/item/item.js:584,stock,1,APPROVE
Make Return Entry,إنشاء قيد مرتجع,erpnext/stock/doctype/purchase_receipt/purchase_receipt.js:327; erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.js:127,stock,1,APPROVE
Make {0} Variant,,erpnext/stock/doctype/item/item.js:692,stock,0,APPROVE
Make {0} Variants,,erpnext/stock/doctype/item/item.js:694,stock,0,APPROVE
Mandatory Section,قسم إلزامي,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json:None,stock,1,APPROVE
Manual Inspection,فحص يدوي,erpnext/stock/doctype/quality_inspection/quality_inspection.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None,stock,1,APPROVE
Manufacturers used in Items,,erpnext/stock/doctype/manufacturer/manufacturer.json:None,stock,0,APPROVE
Manufacturing Time,وقت التصنيع,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,1,APPROVE
Material Returned from WIP,مواد مرتجعة من تحت التشغيل,erpnext/stock/doctype/stock_entry/stock_entry_list.js:13,stock,1,APPROVE
Material Transfer (In Transit),نقل مواد (قيد العبور),erpnext/stock/doctype/material_request/material_request.js:160,stock,1,APPROVE
Max Discount (%),أقصى خصم (%),erpnext/stock/doctype/item/item.json:None,stock,1,APPROVE
Maximum Net Rate,أقصى سعر صافي,erpnext/stock/doctype/item_tax/item_tax.json:None,stock,1,APPROVE
Maximum Value,القيمة القصوى,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None,stock,1,APPROVE
"Min Value: {0}, Max Value: {1}, in Increments of: {2}",,erpnext/stock/doctype/item/item.js:846,stock,0,APPROVE
Minimum Net Rate,أدنى سعر صافي,erpnext/stock/doctype/item_tax/item_tax.json:None,stock,1,APPROVE
Missing,مفقود,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py:1435,stock,1,APPROVE
Missing Filters,عوامل تصفية مفقودة,erpnext/stock/report/serial_no_and_batch_traceability/serial_no_and_batch_traceability.py:44,stock,1,APPROVE
Missing Finished Good,منتج نهائي مفقود,erpnext/stock/doctype/stock_entry/stock_entry.py:1604,stock,1,APPROVE
Missing Formula,صيغة مفقودة,erpnext/stock/doctype/quality_inspection/quality_inspection.py:304,stock,1,APPROVE
Missing Item,صنف مفقود,erpnext/stock/doctype/stock_entry/stock_entry.py:942,stock,1,APPROVE
Multiple Warehouse Accounts,حسابات مستودعات متعددة,erpnext/stock/doctype/warehouse/warehouse.py:152,stock,1,APPROVE
Multiple items cannot be marked as finished item,,erpnext/stock/doctype/stock_entry/stock_entry.py:1611,stock,0,APPROVE
Naming Series is mandatory,سلسلة التسمية إلزامية,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:94,stock,1,APPROVE
Negative Stock Error,خطأ مخزون سالب,erpnext/stock/serial_batch_bundle.py:1509,stock,1,APPROVE
No Stock Available Currently,لا يوجد مخزون متاح حاليا,erpnext/stock/dashboard/item_dashboard.js:154,stock,1,APPROVE
No additional fields available,,erpnext/stock/doctype/item_variant_settings/item_variant_settings.js:46,stock,0,APPROVE
No available quantity to reserve for item {0} in warehouse {1},,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:1360,stock,0,APPROVE
No of Months (Expense),,erpnext/stock/doctype/item/item.json:None,stock,0,APPROVE
No of Months (Revenue),,erpnext/stock/doctype/item/item.json:None,stock,0,APPROVE
No of Parallel Reposting (Per Item),,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None,stock,0,APPROVE
No of Shift,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0,APPROVE
No of Units Produced,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0,APPROVE
No of Workstations,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0,APPROVE
No stock ledger entries were created. Please set the quantity or valuation rate for the items properly and try again.,,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py:786,stock,0,APPROVE
No stock transactions can be created or modified before this date.,,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,0,APPROVE
"Note: To merge the items, create a separate Stock Reconciliation for the old item {0}",,erpnext/stock/doctype/item/item.py:626,stock,0,APPROVE
Notify Reposting Error to Role,إشعار الدور بخطأ إعادة الترحيل,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None,stock,1,APPROVE
Numeric,رقمي,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None,stock,1,APPROVE
Numeric Inspection,فحص رقمي,erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None,stock,1,APPROVE
On This Date,في هذا التاريخ,erpnext/stock/report/available_batch_report/available_batch_report.js:16,stock,1,APPROVE
Only one {0} entry can be created against the Work Order {1},,erpnext/stock/doctype/stock_entry/stock_entry.py:1166,stock,0,APPROVE
Only to be used for Subcontracting Inward.,,erpnext/stock/doctype/warehouse/warehouse.json:None,stock,0,APPROVE
Open Sales Orders,أوامر البيع المفتوحة,erpnext/stock/report/item_variant_details/item_variant_details.py:110,stock,1,APPROVE
Over Billing Allowance exceeded for Purchase Receipt Item {0} ({1}) by {2}%,,erpnext/stock/doctype/purchase_receipt/purchase_receipt.py:1286,stock,0,APPROVE
Over Delivery/Receipt Allowance (%),نسبة سماحية زيادة التسليم/الاستلام,erpnext/stock/doctype/item/item.json:None; erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,1,APPROVE
Over Picking Allowance,سماحية الانتقاء الزائد,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,1,APPROVE
Over Transfer Allowance,سماحية النقل الزائد,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,1,APPROVE
PZN,,erpnext/stock/doctype/item_barcode/item_barcode.json:None,stock,0,APPROVE
Package No(s) already in use. Try from Package No {0},رقم/أرقام الطرود مستخدمة بالفعل. جرب من رقم الطرد {0},erpnext/stock/doctype/packing_slip/packing_slip.py:116,stock,1,APPROVE
Packaging Slip From Delivery Note,قسيمة تعبئة من إذن التسليم,erpnext/stock/doctype/delivery_note/delivery_note_list.js:71,stock,1,APPROVE
Packed Qty,الكمية المعبأة,erpnext/stock/doctype/delivery_note_item/delivery_note_item.json:None; erpnext/stock/doctype/packed_item/packed_item.json:None,stock,1,APPROVE
Pallets,,erpnext/stock/doctype/shipment/shipment.json:None,stock,0,APPROVE
Parameter Group,مجموعة المعايير,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_parameter/quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None,stock,1,APPROVE
Parameter Group Name,اسم مجموعة المعايير,erpnext/stock/doctype/quality_inspection_parameter_group/quality_inspection_parameter_group.json:None,stock,1,APPROVE
Parcel Template,قالب الطرد,erpnext/stock/doctype/shipment/shipment.json:None,stock,1,APPROVE
Parcel Template Name,اسم قالب الطرد,erpnext/stock/doctype/shipment_parcel_template/shipment_parcel_template.json:None,stock,1,APPROVE
Parcel weight cannot be 0,,erpnext/stock/doctype/shipment/shipment.py:96,stock,0,APPROVE
Parcels,الطرود,erpnext/stock/doctype/shipment/shipment.json:None,stock,1,APPROVE
Partial Stock Reservation,حجز مخزون جزئي,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:1723,stock,1,APPROVE
Partially Delivered,مسلم جزئيا,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None,stock,1,APPROVE
Partially Reserved,محجوز جزئيا,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None,stock,1,APPROVE
Partially Used,مستخدم جزئيا,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None,stock,1,APPROVE
Pending processing,بانتظار المعالجة,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.py:248,stock,1,APPROVE
Per Day,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0,APPROVE
"Per Day
Shift Time (In Hours) * No of Workstations * No of Shift",,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0,REVIEW
Per Unit Time in Mins,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0,APPROVE
Pick List Incomplete,قائمة الانتقاء غير مكتملة,erpnext/stock/doctype/pick_list/pick_list.py:231,stock,1,APPROVE
Pick Manually,انتقاء يدويا,erpnext/stock/doctype/pick_list/pick_list.json:None,stock,1,APPROVE
Pick Serial / Batch Based On,انتقاء التسلسل/الدفعة بناء على,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,1,APPROVE
Pickup,استلام,erpnext/stock/doctype/shipment/shipment.json:None,stock,1,APPROVE
Pickup Contact Person,شخص اتصال الاستلام,erpnext/stock/doctype/shipment/shipment.json:None,stock,1,APPROVE
Pickup Date,تاريخ الاستلام,erpnext/stock/doctype/shipment/shipment.json:None,stock,1,APPROVE
Pickup Date cannot be before this day,,erpnext/stock/doctype/shipment/shipment.js:398,stock,0,APPROVE
Pickup From,الاستلام من,erpnext/stock/doctype/shipment/shipment.json:None,stock,1,APPROVE
Pickup To time should be greater than Pickup From time,,erpnext/stock/doctype/shipment/shipment.py:106,stock,0,APPROVE
Pickup Type,نوع الاستلام,erpnext/stock/doctype/shipment/shipment.json:None,stock,1,APPROVE
Pickup from,,erpnext/stock/doctype/shipment/shipment.json:None,stock,0,APPROVE
Pickup to,,erpnext/stock/doctype/shipment/shipment.json:None,stock,0,APPROVE
Please attach CSV file,يرجى إرفاق ملف CSV,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.js:128,stock,1,APPROVE
Please check the error message and take necessary actions to fix the error and then restart the reposting again.,,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.py:524,stock,0,APPROVE
Please contact any of the following users to {} this transaction.,,erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py:342,stock,0,APPROVE
Please create Landed Cost Vouchers against Invoices that have 'Update Stock' enabled.,,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:132,stock,0,APPROVE
"Please delete Product Bundle {0}, before merging {1} into {2}",,erpnext/stock/doctype/item/item.py:654,stock,0,APPROVE
Please enable Use Old Serial / Batch Fields to make_bundle,,erpnext/stock/doctype/pick_list/pick_list.py:282,stock,0,APPROVE
