source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,scope_sha256,proposal_sha256
Reserved Stock,المخزون المحجوز,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reserved Stock for Raw Materials,مخزون محجوز للمواد الخام,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reserved Stock for Sub-assembly,مخزون محجوز للتجميع الفرعي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Resume Job,استئناف العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Return Components,إرجاع المكونات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Returned Qty ,الكمية المرتجعة,"preserved-site-override (not imported, plan §12)","PRESERVED-edge-whitespace exception: retain this exact source key and existing live v16.localhost Site Override verbatim; do not trim, normalize, import, or replace.",stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #1: Sequence ID must be 1 for Operation {0}.,الصف رقم 1: يجب أن يكون معرف التسلسل 1 للعملية {0}.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Cannot transfer more than Required Qty {1} for Item {2} against Job Card {3},الصف رقم {0}: لا يمكن تحويل أكثر من الكمية المطلوبة {1} للصنف {2} مقابل بطاقة العمل {3},quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Customer Provided Item {1} cannot be added multiple times.,الصف رقم {0}: الصنف المقدم من العميل {1} لا يمكن إضافته عدة مرات.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: From Time and To Time fields are required,الصف رقم {0}: حقلا وقت البدء ووقت الانتهاء مطلوبان,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Please select Item Code in Assembly Items,الصف رقم {0}: يرجى تحديد كود الصنف في أصناف التجميع,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Please select the BOM No in Assembly Items,الصف رقم {0}: يرجى تحديد رقم قائمة المواد في أصناف التجميع,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Please select the Sub Assembly Warehouse,الصف رقم {0}: يرجى تحديد مستودع التجميع الفرعي,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Sequence ID must be {1} or {2} for Operation {3}.,الصف رقم {0}: يجب أن يكون معرف التسلسل {1} أو {2} للعملية {3}.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
"Row #{0}: Since 'Track Semi Finished Goods' is enabled, the BOM {1} cannot be used for Sub Assembly Items","الصف رقم {0}: نظرًا لتفعيل ""تتبع البضائع نصف المصنعة""، لا يمكن استخدام قائمة المواد {1} لأصناف التجميع الفرعي",quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Source Warehouse {1} for item {2} cannot be a customer warehouse.,الصف رقم {0}: مستودع المصدر {1} للصنف {2} لا يمكن أن يكون مستودع عميل.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Source Warehouse {1} for item {2} must be same as Source Warehouse {3} in the Work Order.,الصف رقم {0}: مستودع المصدر {1} للصنف {2} يجب أن يكون متطابقًا مع مستودع المصدر {3} في أمر العمل.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Start Time and End Time are required,الصف رقم {0}: وقت البدء ووقت الانتهاء مطلوبان,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row #{0}: Start Time must be before End Time,الصف رقم {0}: يجب أن يكون وقت البدء قبل وقت الانتهاء,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row {0}: Quantity cannot be negative.,الصف {0}: لا يمكن أن تكون الكمية سالبة.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Row {0}: Workstation or Workstation Type is mandatory for an operation {1},الصف {0}: محطة العمل أو نوع محطة العمل إلزامي للعملية {1},quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Run parallel job cards in a workstation,تشغيل بطاقات عمل متوازية في محطة عمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Sales Forecast,توقع المبيعات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Sales Forecast Item,عنصر توقع المبيعات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Sales Order Reference,مرجع أمر البيع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Sales Order Status,حالة أمر البيع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Scan Job Card Qrcode,مسح رمز الاستجابة السريعة لبطاقة العمل,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Scheduled Time Logs,سجلات الوقت المجدولة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Scrap & Process Loss,الهالك وخسارة العملية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Scrap Item Code,كود صنف الهالك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Scrap Item Name,اسم صنف الهالك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Select Corrective Operation,تحديد عملية تصحيحية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Select Warehouses to get Stock for Materials Planning,تحديد المستودعات لجلب المخزون لتخطيط المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Select the Default Workstation where the Operation will be performed. This will be fetched in BOMs and Work Orders.,حدد محطة العمل الافتراضية التي سيتم تنفيذ العملية فيها. سيتم جلب هذا في قوائم المواد وأوامر العمل.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Select the Item to be manufactured.,حدد الصنف المراد تصنيعه.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
"Select the Item to be manufactured. The Item name, UoM, Company, and Currency will be fetched automatically.",حدد الصنف المراد تصنيعه. سيتم جلب اسم الصنف ووحدة القياس والشركة والعملة تلقائيًا.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Select the Warehouse,حدد المستودع,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Select the raw materials (Items) required to manufacture the Item,حدد المواد الخام (الأصناف) المطلوبة لتصنيع الصنف,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Semi Finished Good / Finished Good,منتج نصف نهائي/منتج نهائي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Semi Finished Goods / Finished Goods,منتجات نصف نهائية/منتجات نهائية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Set Finished Good Quantity,تعيين كمية المنتج النهائي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Set Operating Cost / Scrap Items From Sub-assemblies,تعيين تكلفة التشغيل / أصناف الخردة من التجميعات الفرعية,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Set Operating Cost Based On BOM Quantity,تعيين تكلفة التشغيل بناء على كمية قائمة المواد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Set Parent Row No in Items Table,تعيين رقم الصف الأب في جدول الأصناف,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Set Process Loss Item Quantity,تعيين كمية صنف خسارة العملية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Set Valuation Rate Based on Source Warehouse,تعيين سعر التقييم بناء على مستودع المصدر,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Set quantity of process loss item:,تعيين كمية صنف الفاقد في العملية:,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Set the Planned Start Date (an Estimated Date at which you want the Production to begin),تعيين تاريخ البدء المخطط (تاريخ تقديري ترغب في بدء الإنتاج فيه),quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Setting {0} is required,الإعداد {0} مطلوب,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Show in Bucket View,إظهار في عرض الحاويات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Skip Material Transfer to WIP,تخطي نقل المواد إلى تحت التشغيل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Source Warehouse {0} must be same as Customer Warehouse {1} in the Subcontracting Inward Order.,مستودع المصدر {0} يجب أن يكون متطابقًا مع مستودع العميل {1} في أمر المقاولة من الباطن الوارد.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Standard Description,الوصف القياسي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Start Job,بدء العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Status Illustration,رسم توضيحي للحالة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Stock Entry {0} has created,تم إنشاء قيد المخزون {0},quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Stock Partially Reserved,مخزون محجوز جزئيا,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Stock Reservation,حجز المخزون,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Stock Reserved,المخزون محجوز,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Stock Reserved Qty,كمية المخزون المحجوزة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Sub Assemblies & Raw Materials,التجميعات الفرعية والمواد الخام,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Sub Assembly Item Code,كود صنف التجميع الفرعي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Sub Assembly Item Reference,مرجع صنف التجميع الفرعي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Sub Assembly Items,أصناف التجميع الفرعي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Sub Assembly Warehouse,مستودع التجميع الفرعي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
