source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Set Response Time for Priority {0} in row {1}.,,DEFERRED-source-defect,Vendor source defect: the same message is used when resolution time is missing; defer until the source key is split or corrected upstream.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:82; erpnext/support/doctype/service_level_agreement/service_level_agreement.py:90
Settings for Selling Module,إعدادات وحدة البيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_settings/crm_settings.json:None; erpnext/selling/doctype/selling_settings/selling_settings.json:None
Signee,الموقع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/contract/contract.json:None
"Simple Python Expression, Example: doc.status == 'Open' and doc.issue_type == 'Bug'",تعبير بايثون بسيط، مثال: doc.status == 'Open' and doc.issue_type == 'Bug',PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None
Stage,المرحلة,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/prospect_opportunity/prospect_opportunity.json:None
Start Time can't be greater than or equal to End Time for {0}.,لا يمكن أن يكون وقت البدء أكبر من أو مساويًا لوقت الانتهاء لـ {0}.,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:129
Status Details,تفاصيل الحالة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None
Territory Wise Sales,المبيعات حسب المنطقة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/workspace/crm/crm.json:None
The Document Type {0} must have a Status field to configure Service Level Agreement,يجب أن يحتوي نوع المستند {0} على حقل الحالة لتهيئة اتفاقية مستوى الخدمة,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:206
Time slot is not available,الفترة الزمنية غير متاحة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/appointment/appointment.py:60
To Date is mandatory,تاريخ إلى إلزامي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.py:30
Total Issues,إجمالي البلاغات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/report/issue_summary/issue_summary.py:82
Unqualified,غير مؤهل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None
Update the modified timestamp on new communications received in Lead & Opportunity.,تحديث الطابع الزمني للتعديل عند تلقي اتصالات جديدة في العميل المحتمل والفرصة.,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_settings/crm_settings.json:None
Update timestamp on new communication,تحديث الطابع الزمني عند اتصال جديد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/crm_settings/crm_settings.json:None
Visits,الزيارات,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.json:None
fieldname,,EXCEPTION-technical,code identifier / technical defect token in sales_pipeline_analytics (keep vendor rendering; no translation),stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.py:184
or its descendants,أو توابعه,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.js:50
{} Open,{} مفتوح,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/workspace/crm/crm.json:None; erpnext/projects/workspace/projects/projects.json:None; erpnext/quality_management/workspace/quality/quality.json:None; erpnext/selling/workspace/selling/selling.json:None
