source_text,suggested_ar,locations,area,has_pre_filled
MPS Generated,تم إنشاء خطة الإنتاج الرئيسية,erpnext/manufacturing/doctype/sales_forecast/sales_forecast.json:None; erpnext/manufacturing/doctype/sales_forecast/sales_forecast_list.js:9,manufacturing,1
MRP Log documents are being created in the background.,,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.py:448,manufacturing,0
Main Item Code,كود الصنف الرئيسي,erpnext/manufacturing/doctype/material_request_plan_item/material_request_plan_item.json:None,manufacturing,1
Make Purchase / Work Order,إنشاء أمر شراء/عمل,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.js:130,manufacturing,1
Make Serial No / Batch from Work Order,إنشاء رقم تسلسلي/دفعة من أمر العمل,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None,manufacturing,1
Make Subcontracting PO,إنشاء أمر شراء مقاول باطن,erpnext/manufacturing/doctype/job_card/job_card.js:410,manufacturing,1
Make Transfer Entry,إنشاء قيد نقل,erpnext/manufacturing/doctype/workstation/workstation.js:427,manufacturing,1
Manufactured Items Value,قيمة الأصناف المصنعة,erpnext/manufacturing/workspace/manufacturing/manufacturing.json:None,manufacturing,1
Manufacturing BOM,قائمة مواد التصنيع,erpnext/manufacturing/doctype/job_card/job_card.json:None,manufacturing,1
Manufacturing Type,نوع التصنيع,erpnext/manufacturing/doctype/production_plan_sub_assembly_item/production_plan_sub_assembly_item.json:None,manufacturing,1
Master Production Schedule,خطة الإنتاج الرئيسية,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json:None; erpnext/manufacturing/workspace/manufacturing/manufacturing.json:None,manufacturing,1
Master Production Schedule Item,عنصر خطة الإنتاج الرئيسية,erpnext/manufacturing/doctype/master_production_schedule_item/master_production_schedule_item.json:None,manufacturing,1
Material Requirements Planning,تخطيط متطلبات المواد,erpnext/manufacturing/workspace/manufacturing/manufacturing.json:None,manufacturing,1
Material Requirements Planning Report,تقرير تخطيط متطلبات المواد,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.json:None,manufacturing,1
Materials needs to be transferred to the work in progress warehouse for the job card {0},,erpnext/manufacturing/doctype/job_card/job_card.py:733,manufacturing,0
Max Producible Qty,أقصى كمية قابلة للإنتاج,erpnext/manufacturing/doctype/work_order/work_order.json:None,manufacturing,1
Missing value,,erpnext/manufacturing/doctype/bom/bom.py:1128; erpnext/manufacturing/doctype/work_order/work_order.py:1446,manufacturing,0
Move Stock,نقل المخزون,erpnext/manufacturing/doctype/plant_floor/plant_floor.js:239,manufacturing,1
Multi-level BOM Creator,منشئ قائمة مواد متعددة المستويات,erpnext/manufacturing/doctype/bom_creator/bom_creator.js:42,manufacturing,1
New Version,إصدار جديد,erpnext/manufacturing/doctype/bom/bom.js:178,manufacturing,1
No Purchase Orders were created,,erpnext/manufacturing/doctype/production_plan/production_plan.py:771,manufacturing,0
No Work Orders were created,,erpnext/manufacturing/doctype/production_plan/production_plan.py:768; erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.py:249,manufacturing,0
No items are available in sales orders {0} for production,,erpnext/manufacturing/doctype/production_plan/production_plan.py:157,manufacturing,0
No items are available in the sales order {0} for production,,erpnext/manufacturing/doctype/production_plan/production_plan.py:154; erpnext/manufacturing/doctype/production_plan/production_plan.py:166,manufacturing,0
No open Material Requests found for the given criteria.,,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.py:323,manufacturing,0
No sales data found for the selected items.,,erpnext/manufacturing/doctype/sales_forecast/sales_forecast.py:117,manufacturing,0
Not permitted to make Purchase Orders,,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1283,manufacturing,0
Number of Weeks / Months,عدد الأسابيع/الأشهر,erpnext/manufacturing/doctype/sales_forecast/sales_forecast.json:None,manufacturing,1
On Hand,متاح,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1020,manufacturing,1
Once the Work Order is Closed. It can't be resumed.,,erpnext/manufacturing/doctype/work_order/work_order.js:717,manufacturing,0
Open BOM {0},,erpnext/manufacturing/doctype/bom/bom_item_preview.html:24,manufacturing,0
Open Item {0},,erpnext/manufacturing/doctype/bom/bom_item_preview.html:28; erpnext/manufacturing/doctype/work_order/work_order_preview.html:28,manufacturing,0
Open Orders,الأوامر المفتوحة,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json:None,manufacturing,1
Open Work Order {0},,erpnext/manufacturing/doctype/work_order/work_order_preview.html:24,manufacturing,0
Operating Component,,erpnext/manufacturing/doctype/workstation_cost/workstation_cost.json:None,manufacturing,0
Operating Components Cost,تكلفة مكونات التشغيل,erpnext/manufacturing/doctype/workstation/workstation.json:None; erpnext/manufacturing/doctype/workstation_type/workstation_type.json:None,manufacturing,1
Operating Cost Per BOM Quantity,تكلفة التشغيل لكل كمية قائمة مواد,erpnext/manufacturing/doctype/bom/bom.json:None,manufacturing,1
Operating Costs (Per Hour),تكاليف التشغيل (لكل ساعة),erpnext/manufacturing/doctype/workstation/workstation.json:None; erpnext/manufacturing/doctype/workstation_type/workstation_type.json:None,manufacturing,1
Operation & Materials,العملية والمواد,erpnext/manufacturing/doctype/job_card/job_card.json:None,manufacturing,1
Operation Row ID,معرف صف العملية,erpnext/manufacturing/doctype/job_card/job_card.json:None,manufacturing,1
Operation Row Id,معرف صف العملية,erpnext/manufacturing/doctype/work_order_item/work_order_item.json:None,manufacturing,1
Operation time does not depend on quantity to produce,,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None,manufacturing,0
