source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
Material from Customer,مواد من العميل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Ongoing,جار,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Partial Material Transferred,مواد منقولة جزئيا,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Please select Finished Good Item for Service Item {0},يُرجى تحديد الصنف النهائي للصنف الخدمي {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Please select a Subcontracting Purchase Order.,يُرجى تحديد أمر شراء مقاول باطن.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Please select a valid Purchase Order that has Service Items.,يُرجى تحديد أمر شراء صالح يتضمن أصنافًا خدمية.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Please select a valid Purchase Order that is configured for Subcontracting.,يُرجى تحديد أمر شراء صالح مُعدّ لمقاولات الباطن.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Purchase Order Item reference is missing in Subcontracting Receipt {0},مرجع بند أمر الشراء غير موجود في إيصال استلام مقاولات باطن {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Purchase Receipt {0} created.,تم إنشاء سند استلام الشراء {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Raw Material Cost Per Qty,تكلفة المادة الخام لكل كمية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Raw Materials Actions,إجراءات المواد الخام,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Raw Materials Required,المواد الخام المطلوبة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Raw Materials to Customer,مواد خام إلى العميل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Reset Raw Materials Table,إعادة تعيين جدول المواد الخام,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Return Against Subcontracting Receipt,مرتجع مقابل إيصال مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Row #{0}: Accepted Warehouse is mandatory for the accepted Item {1},الصف رقم {0}: مستودع الأصناف المقبولة إلزامي للصنف {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Row #{0}: Finished Good reference is mandatory for Scrap Item {1}.,الصف رقم {0}: مرجع الصنف النهائي إلزامي لصنف الخردة {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Row #{0}: Rejected Qty cannot be set for Scrap Item {1}.,الصف رقم {0}: لا يمكن تحديد كمية مرفوضة لصنف الخردة {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Row #{0}: Scrap Item Qty cannot be zero,الصف رقم {0}: لا يمكن أن تكون كمية صنف الخردة صفرًا.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Row {0}: Accepted Qty and Rejected Qty can't be zero at the same time.,الصف {0}: لا يمكن أن تكون الكمية المقبولة والكمية المرفوضة صفرًا في الوقت نفسه.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Scrap Cost Per Qty,تكلفة الهالك لكل كمية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Scrap Items Generated,أصناف الهالك المنشأة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Select Job Worker Address,تحديد عنوان منفذ العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Serial and Batch Details,تفاصيل التسلسل والدفعة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Service Cost Per Qty,تكلفة الخدمة لكل كمية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Service Item,عنصر الخدمة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Service Item Qty,كمية عنصر الخدمة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Service Item Qty / Finished Good Qty,كمية عنصر الخدمة / كمية المنتج النهائي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Service Item UOM,وحدة قياس عنصر الخدمة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Service Item {0} is disabled.,الصنف الخدمي {0} معطّل.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Service Item {0} must be a non-stock item.,يجب أن يكون الصنف الخدمي {0} غير مخزني.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Service Items,عناصر الخدمة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Set Delivery Warehouse,تعيين مستودع التسليم,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Sets 'Accepted Warehouse' in each row of the Items table.,يحدد مستودع الأصناف المقبولة في كل صف من جدول الأصناف.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Sets 'Rejected Warehouse' in each row of the Items table.,يحدد مستودع الأصناف المرفوضة في كل صف من جدول الأصناف.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Sets 'Reserve Warehouse' in each row of the Supplied Items table.,يحدد مستودع الحجز في كل صف من جدول الأصناف الموردة.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Stock Reservation Entries created,تم إنشاء قيود حجز المخزون.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontract Return,مرتجع مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Conversion Factor,معامل تحويل مقاولات الباطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Inward Order Count,عدد أوامر استلام مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Inward Order Received Item,بند مستلم لأمر استلام مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Inward Order Scrap Item,بند هالك لأمر استلام مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Inward Order Service Item,بند خدمة لأمر استلام مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Order Item,بند أمر مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Order Service Item,بند خدمة أمر مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Order Supplied Item,بند مورد لأمر مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Outward Order,أمر إرسال مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Outward Order Count,عدد أوامر إرسال مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Purchase Order,أمر شراء مقاول باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Receipt Supplied Item,بند مورد لإيصال مقاولات باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Subcontracting Sales Order,أمر بيع مقاول باطن,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
There is already an active Subcontracting BOM {0} for the Finished Good {1}.,توجد بالفعل قائمة مواد مقاول الباطن {0} للصنف النهائي {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Warehouse Details,تفاصيل المستودع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
