source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Demand,الطلب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json:None; erpnext/manufacturing/report/exponential_smoothing_forecasting/exponential_smoothing_forecasting.py:233; erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:311; erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:376
Demand Qty,كمية الطلب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/sales_forecast_item/sales_forecast_item.json:None; erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:999
Demand vs Supply,الطلب مقابل العرض,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:323; erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:388
Difference Qty,كمية الفرق,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py:100
Disassemble Order,أمر تفكيك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.js:232
Disassembled Qty,الكمية المفككة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.json:None
Do Not Explode,عدم التفجير,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None; erpnext/manufacturing/doctype/bom_item/bom_item.json:None
Do you want to submit the stock entry?,هل تريد ترحيل قيد المخزون؟,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:103
Download Required Materials,تنزيل المواد المطلوبة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Duplicate Operating Component {0} found in Operating Components,تم العثور على مكوّن تشغيل مكرر {0} في مكونات التشغيل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.py:79; erpnext/manufacturing/doctype/workstation_type/workstation_type.py:37
Employee {0} is currently working on another workstation. Please assign another employee.,الموظف {0} يعمل حاليًا في محطة عمل أخرى. يرجى تعيين موظف آخر.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.py:310
Employees,الموظفون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.js:351
Enabling this checkbox will force each Job Card Time Log to have From Time and To Time,سيؤدي تفعيل خانة الاختيار هذه إلى إلزام كل سجل وقت لبطاقة العمل بأن يتضمن وقت البدء ووقت الانتهاء,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
End Time,وقت الانتهاء,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:375; erpnext/manufacturing/doctype/job_card/job_card.js:445; erpnext/manufacturing/doctype/workstation_working_hour/workstation_working_hour.json:None; erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None; erpnext/support/doctype/service_day/service_day.json:None; erpnext/telephony/doctype/call_log/call_log.json:None
Enforce Time Logs,فرض سجلات الوقت,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
Enter a name for Routing.,أدخل اسمًا لمسار الإنتاج.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/routing/routing.js:88
"Enter a name for the Operation, for example, Cutting.",أدخل اسمًا للعملية، على سبيل المثال، القص.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/operation/operation.js:20
Enter the quantity of the Item that will be manufactured from this Bill of Materials.,أدخل كمية الصنف التي سيتم تصنيعها من قائمة المواد هذه.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.js:935
Enter the quantity to manufacture. Raw material Items will be fetched only when this is set.,أدخل الكمية المراد تصنيعها. سيتم جلب أصناف المواد الخام فقط عند تعيين هذا.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.js:1133
Excess Materials Consumed,مواد زائدة مستهلكة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/work_order_consumed_materials/work_order_consumed_materials.js:55
Excess Transfer,نقل زائد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.py:1012
Expected Time Required (In Mins),الوقت المتوقع المطلوب (بالدقائق),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.json:None
Extra Consumed Qty,كمية مستهلكة إضافية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/work_order_consumed_materials/work_order_consumed_materials.py:148
Extra Job Card Quantity,كمية بطاقة عمل إضافية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.py:227
Extra Material Transfer,نقل مواد إضافي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
FG / Semi FG Item,صنف نهائي/نصف نهائي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None
Fetching Material Requests...,جار جلب طلبات المواد...,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:198
Fetching Sales Orders...,جار جلب أوامر البيع...,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:145
Fetching...,جار الجلب...,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js:72
Filters for Material Requests,عوامل تصفية طلبات المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:158
Filters for Sales Orders,عوامل تصفية أوامر البيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:92
Final BOM,قائمة المواد النهائية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.json:None
Final Product,المنتج النهائي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.json:None; erpnext/manufacturing/doctype/job_card/job_card.json:None
Finished Good Serial / Batch,تسلسل/دفعة المنتج النهائي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.json:None
Finished Goods Based Operating Cost,تكلفة تشغيل حسب المنتجات النهائية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None
Finished Goods Item,صنف المنتجات النهائية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None
Finished Goods Reference,مرجع المنتجات النهائية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None
Finished Goods Value,قيمة المنتجات النهائية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/process_loss_report/process_loss_report.py:106
Finished Goods based Operating Cost,التكلفة التشغيلية بناءً على البضائع تامة الصنع,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None
Fixed Asset item {0} cannot be used in BOMs.,لا يمكن استخدام صنف الأصل الثابت {0} في قوائم المواد.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.py:691
Fixed Time,وقت ثابت,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None
Floor,الطابق,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/plant_floor/plant_floor.json:None
Floor Name,اسم الطابق,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/plant_floor/plant_floor.json:None
For Item,للصنف,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/plant_floor/plant_floor.js:187; erpnext/manufacturing/doctype/plant_floor/plant_floor.js:211
For Job Card,لبطاقة العمل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.json:None
For Operation,للعملية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:515; erpnext/manufacturing/doctype/job_card/job_card.json:None
For Raw Materials,للمواد الخام,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
For operation {0}: Quantity ({1}) can not be greater than pending quantity({2}),للعملية {0}: لا يمكن أن تكون الكمية ({1}) أكبر من الكمية المعلقة ({2}),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:2524
Forecast Demand,توقع الطلب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json:None
Forecast Qty,كمية التوقع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/sales_forecast_item/sales_forecast_item.json:None
Forecasting,التوقع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/workspace/manufacturing/manufacturing.json:None
Forecasting Method,طريقة التوقع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/sales_forecast/sales_forecast.json:None
From BOM No,من رقم قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py:63; erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py:25
From Corrective Job Card,من بطاقة عمل تصحيحية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.json:None
From Delivery Date,من تاريخ التسليم,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Generate Demand,إنشاء الطلب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/sales_forecast/sales_forecast.json:None
Generating Master Production Schedule...,جار إنشاء خطة الإنتاج الرئيسية...,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:56
Get Actual Demand,جلب الطلب الفعلي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json:None
Get Finished Goods,جلب المنتجات النهائية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Get Finished Goods for Manufacture,جلب المنتجات النهائية للتصنيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Get Items for Purchase / Transfer,جلب الأصناف للشراء/النقل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Get Items for Purchase Only,جلب الأصناف للشراء فقط,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Get Material Requests,جلب طلبات المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:181; erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:183; erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json:None
Get Raw Materials Cost from Consumption Entry,جلب تكلفة المواد الخام من قيد الاستهلاك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
Get Stock,جلب المخزون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:552
Get Sub Assembly Items,جلب أصناف التجميع الفرعي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Holt-Winters,هولت-وينترز,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/sales_forecast/sales_forecast.json:None
Hour Rate,سعر الساعة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None; erpnext/manufacturing/doctype/job_card/job_card.json:None; erpnext/manufacturing/doctype/work_order_operation/work_order_operation.json:None
Idle,خامل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.json:None
"If an operation is divided into sub operations, they can be added here.",إذا تم تقسيم عملية إلى عمليات فرعية، يمكن إضافتها هنا.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/operation/operation.js:32
"If items in stock, proceed with Material Transfer or Purchase.",إذا كانت الأصناف متوفرة في المخزون، تابع بنقل المواد أو الشراء.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
"If the BOM results in Scrap material, the Scrap Warehouse needs to be selected.",إذا نتج عن قائمة المواد خردة، فيجب تحديد مستودع الخردة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.js:1166
"If you still want to proceed, please disable 'Skip Available Sub Assembly Items' checkbox.",إذا كنت لا تزال ترغب في المتابعة، يرجى إلغاء تفعيل خانة الاختيار 'تخطي عناصر التجميع الفرعي المتوفرة'.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:1071
"If you still want to proceed, please enable {0}.",إذا كنت لا تزال ترغب في المتابعة، يرجى تفعيل {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:1807
In House,داخلي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan_sub_assembly_item/production_plan_sub_assembly_item.json:None
In mins,بالدقائق,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card_operation/job_card_operation.json:None
Inactive Status,حالة غير نشطة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.json:None
Include Safety Stock in Required Qty Calculation,تضمين مخزون الأمان في حساب الكمية المطلوبة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Instruction,تعليمات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None
Invalid Process Loss Configuration,تهيئة فاقد التصنيع غير صالحة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.py:1169
Is Additional Item,صنف إضافي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order_item/work_order_item.json:None; erpnext/subcontracting/doctype/subcontracting_inward_order_received_item/subcontracting_inward_order_received_item.json:None
Is Corrective Job Card,بطاقة عمل تصحيحية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.json:None
Is Corrective Operation,عملية تصحيحية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/operation/operation.json:None
Is Expandable,قابل للتوسيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None
Is Final Finished Good,منتج نهائي أخير,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None
Is Paused,متوقف مؤقتا,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.json:None
Is Phantom BOM,قائمة مواد وهمية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None
Is Phantom Item,صنف وهمي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None; erpnext/manufacturing/doctype/bom_item/bom_item.json:None; erpnext/manufacturing/report/bom_explorer/bom_explorer.py:68
Is Stock Item,صنف مخزني,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_item/bom_item.json:None; erpnext/selling/doctype/sales_order_item/sales_order_item.json:None
Is Sub Assembly Item,صنف تجميع فرعي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_explosion_item/bom_explosion_item.json:None; erpnext/manufacturing/doctype/bom_item/bom_item.json:None
Item Code (Final Product),كود الصنف (المنتج النهائي),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.js:61
Item Lead Time,مدة توريد الصنف,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/workspace/manufacturing/manufacturing.json:None; erpnext/stock/doctype/item_lead_time/item_lead_time.json:None
Item and Warehouse,الصنف والمستودع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/sales_forecast/sales_forecast.json:None; erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.json:None
Item to Manufacture,الصنف المطلوب تصنيعه,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.json:None
Item {0} cannot be added as a sub-assembly of itself,لا يمكن إضافة الصنف {0} كتجميع فرعي لنفسه,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:85
Item {0} cannot be ordered more than {1} against Blanket Order {2}.,لا يمكن طلب الصنف {0} بأكثر من {1} مقابل الأمر الشامل {2}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/blanket_order/blanket_order.py:197
Item {0} is not a subcontracted item,الصنف {0} ليس صنفاً من الباطن,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:933
Job Capacity,سعة العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.json:None
Job Card Operation,عملية بطاقة العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card_operation/job_card_operation.json:None
Job Card Scheduled Time,وقت بطاقة العمل المجدول,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card_scheduled_time/job_card_scheduled_time.json:None
Job Card Scrap Item,صنف هالك بطاقة العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card_scrap_item/job_card_scrap_item.json:None
