source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
Pending processing,بانتظار المعالجة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Per Day,يوميًا,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Per Unit Time in Mins,الوقت لكل وحدة بالدقائق,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pick List Incomplete,قائمة الانتقاء غير مكتملة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pick Manually,انتقاء يدويا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pick Serial / Batch Based On,انتقاء التسلسل/الدفعة بناء على,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pickup,استلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pickup Contact Person,شخص اتصال الاستلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pickup Date,تاريخ الاستلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pickup Date cannot be before this day,لا يمكن أن يسبق تاريخ الاستلام هذا اليوم,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pickup From,الاستلام من,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pickup To time should be greater than Pickup From time,يجب أن يكون وقت انتهاء الاستلام بعد وقت بدايته,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pickup Type,نوع الاستلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pickup from,وقت بدء الاستلام,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pickup to,وقت انتهاء الاستلام,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please attach CSV file,يرجى إرفاق ملف CSV,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please check the error message and take necessary actions to fix the error and then restart the reposting again.,يُرجى مراجعة رسالة الخطأ واتخاذ الإجراءات اللازمة لإصلاحه، ثم إعادة بدء الترحيل.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please contact any of the following users to {} this transaction.,يُرجى التواصل مع أحد المستخدمين التاليين لإجراء {} لهذه المعاملة.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please create Landed Cost Vouchers against Invoices that have 'Update Stock' enabled.,يُرجى إنشاء سندات تكاليف الوصول للفواتير التي فُعّل فيها خيار 'تحديث المخزون'.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Please delete Product Bundle {0}, before merging {1} into {2}",يُرجى حذف حزمة المنتج {0} قبل دمج {1} في {2},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please enable Use Old Serial / Batch Fields to make_bundle,يُرجى تفعيل «استخدام حقول الرقم التسلسلي/الدفعة القديمة» لإنشاء الحزمة.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please enable {0} in the {1}.,يُرجى تفعيل {0} في {1}.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please enter Shipment Parcel information,يُرجى إدخال بيانات طرد الشحنة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please enter serial nos,يرجى إدخال الأرقام التسلسلية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Please first set Last Name, Email and Phone for the user",يُرجى إدخال اسم العائلة والبريد الإلكتروني والهاتف للمستخدم أولًا,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please mention 'Weight UOM' along with Weight.,يُرجى تحديد 'وحدة قياس الوزن' مع الوزن.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please rectify and try again.,يُرجى التصحيح والمحاولة مجددًا.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please select Serial/Batch Nos to reserve or change Reservation Based On to Qty.,يُرجى تحديد الأرقام التسلسلية/الدفعات لحجزها، أو تغيير أساس الحجز إلى الكمية.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please select Subcontracting Order instead of Purchase Order {0},يُرجى اختيار أمر مقاولات الباطن بدلًا من أمر الشراء {0},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Please select at least one filter: Item Code, Batch, or Serial No.",يُرجى تحديد عامل تصفية واحد على الأقل: رمز الصنف أو الدفعة أو الرقم التسلسلي.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please select at least one row to fix,يرجى تحديد صف واحد على الأقل للإصلاح,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please select at least one row with difference value,يُرجى تحديد صف واحد على الأقل يتضمن قيمة الفرق,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please select either the Item or Warehouse or Warehouse Type filter to generate the report.,يُرجى تحديد عامل تصفية الصنف أو المستودع أو نوع المستودع لإنشاء التقرير.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please select only one row to create a Reposting Entry,يُرجى تحديد صف واحد فقط لإنشاء قيد إعادة الترحيل,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please select rows to create Reposting Entries,يُرجى تحديد الصفوف لإنشاء قيود إعادة الترحيل,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please select the Warehouse first,يرجى تحديد المستودع أولا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please select the required filters,يُرجى تحديد عوامل التصفية المطلوبة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please set Email/Phone for the contact,يُرجى إدخال البريد الإلكتروني/الهاتف لجهة الاتصال,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Please try again in an hour.,يرجى المحاولة مرة أخرى بعد ساعة.,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Posting Datetime,تاريخ ووقت الترحيل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Price List Defaults,إعدادات قائمة الأسعار الافتراضية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Printing Details,تفاصيل الطباعة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Priority cannot be lesser than 1.,لا يمكن أن تكون الأولوية أقل من 1.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Projected On Hand,المتوفر المتوقع,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Prompt Qty,طلب الكمية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Provisional Expense Account,حساب مصروف مؤقت,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Purchase Time,وقت الشراء,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Purchase Voucher No,رقم سند الشراء,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Purchase Voucher Type,نوع سند الشراء,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Putaway Rule,قاعدة التخزين,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Putaway Rule already exists for Item {0} in Warehouse {1}.,توجد بالفعل قاعدة تخزين للصنف {0} في المستودع {1}.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Qty (in Stock UOM),الكمية (بوحدة قياس المخزون),preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Qty After Transaction,الكمية بعد المعاملة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Qty Change,تغير الكمية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Qty To Produce,الكمية المطلوب إنتاجها,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Qty as Per Stock UOM,الكمية حسب وحدة قياس المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Qty of Finished Goods Item should be greater than 0.,يجب أن تكون كمية الصنف النهائي أكبر من 0.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Quality Inspection Parameter,معيار فحص الجودة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Quality Inspection Parameter Group,مجموعة معايير فحص الجودة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Quality Inspection Settings,إعدادات فحص الجودة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Quantity (A - B),الكمية (أ - ب),preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Quantity cannot be greater than {0} for Item {1},لا يمكن أن تتجاوز كمية الصنف {1} القيمة {0},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Quantity must be greater than zero, and less or equal to {0}",يجب أن تكون الكمية أكبر من صفر وأقل من أو مساوية لـ {0},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Rate Section,قسم السعر,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Raw Material Voucher No,رقم سند المادة الخام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Raw Material Voucher Type,نوع سند المادة الخام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reading Value,قيمة القراءة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Recalculate Batch Qty,إعادة حساب كمية الدفعة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Recalculate Bin Qty,إعادة حساب كمية الحاوية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Recalculate Incoming/Outgoing Rate,إعادة حساب سعر الوارد/الصادر,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Receipt Items,أصناف الإيصال,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Received Qty in Stock UOM,الكمية المستلمة بوحدة قياس المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reconcile All Serial Nos / Batches,تسوية كل الأرقام التسلسلية/الدفعات,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Recreate Stock Ledgers,إعادة إنشاء دفاتر أستاذ المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reference for Reservation,مرجع الحجز,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
References to Sales Invoices are Incomplete,مراجع فواتير المبيعات غير مكتملة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
References to Sales Orders are Incomplete,مراجع أوامر البيع غير مكتملة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Regenerate Stock Closing Entry,إعادة إنشاء قيد إغلاق المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Remove item if charges is not applicable to that item,أزل الصنف إذا لم تنطبق عليه الرسوم,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Repost Item Valuation,إعادة تقييم عنصر المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Repost Item Valuation restarted for selected failed records.,أُعيد بدء ترحيل تقييم الأصناف للسجلات المحددة التي فشلت.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Repost Only Accounting Ledgers,إعادة ترحيل دفاتر الأستاذ المحاسبية فقط,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reposting Completed {0}%,اكتملت إعادة الترحيل بنسبة {0}%,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reposting Data File,ملف بيانات إعادة الترحيل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reposting Info,معلومات إعادة الترحيل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reposting Progress,تقدم إعادة الترحيل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reposting Reference,مرجع إعادة الترحيل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reposting entries created: {0},عدد قيود إعادة الترحيل المنشأة: {0},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reposting has been started in the background.,بدأت إعادة الترحيل في الخلفية.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reservation Based On,الحجز بناء على,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Reserved Qty ({0}) cannot be a fraction. To allow this, disable '{1}' in UOM {3}.",,DEFERRED-source-defect,"Source requests {3}, but the inspected formatter does not provide that positional argument; vendor source fix is outside this batch.",stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reserved Qty for Production Plan,الكمية المحجوزة لخطة الإنتاج,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reserved Qty for Subcontract,الكمية المحجوزة لمقاول الباطن,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reserved Qty should be greater than Delivered Qty.,يجب أن تكون الكمية المحجوزة أكبر من الكمية المسلّمة.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reserved Serial No.,رقم تسلسلي محجوز,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reserved Stock for Batch,مخزون محجوز للدفعة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reserved for POS Transactions,محجوز لمعاملات نقطة البيع,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reserved for Production,محجوز للإنتاج,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reserved for Production Plan,محجوز لخطة الإنتاج,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Reserved for Sub Contracting,محجوز للتصنيع بالعقد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Restart,إعادة التشغيل,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Restart Failed Entries,إعادة تشغيل القيود الفاشلة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Return Issued,تم إصدار المرتجع,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Return Qty,كمية المرتجع,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Return Qty from Rejected Warehouse,كمية المرتجع من مستودع المرفوضات,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Returned Against,مرتجع مقابل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Returned Qty in Stock UOM,الكمية المرتجعة بوحدة قياس المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Role Allowed to Create/Edit Back-dated Transactions,الدور المسموح له بإنشاء/تعديل معاملات بتاريخ سابق,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Role Allowed to Over Deliver/Receive,الدور المسموح له بزيادة التسليم/الاستلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row # {0}:,الصف رقم {0}:,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row # {0}: Please add Serial and Batch Bundle for Item {1},الصف رقم {0}: يُرجى إضافة حزمة الأرقام التسلسلية والدفعات للصنف {1},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row # {0}: Please enter quantity for Item {1} as it is not zero.,,DEFERRED-source-defect,Source raises this while current_qty is zero; source condition/message conflict requires vendor-side correction.,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row #{0}: A reorder entry already exists for warehouse {1} with reorder type {2}.,الصف رقم {0}: يوجد بالفعل قيد إعادة طلب للمستودع {1} من النوع {2}.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row #{0}: Acceptance Criteria Formula is incorrect.,الصف رقم {0}: صيغة معايير القبول غير صحيحة.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row #{0}: Acceptance Criteria Formula is required.,الصف رقم {0}: صيغة معايير القبول مطلوبة.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row #{0}: Batch No {1} is already selected.,الصف رقم {0}: تم تحديد رقم الدفعة {1} بالفعل.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row #{0}: Finished Good must be {1},الصف رقم {0}: يجب أن يكون المنتج النهائي {1},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Row #{0}: Item {1} has been picked, please reserve stock from the Pick List.",الصف رقم {0}: تم انتقاء الصنف {1}، يُرجى حجز المخزون من قائمة الانتقاء.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row #{0}: Only {1} available to reserve for the Item {2},الصف رقم {0}: المتاح لحجزه للصنف {2} هو {1} فقط,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row #{0}: Quantity to reserve for the Item {1} should be greater than 0.,الصف رقم {0}: يجب أن تكون كمية الصنف {1} المراد حجزها أكبر من 0.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Row #{0}: Serial No {1} for Item {2} is not available in {3} {4} or might be reserved in another {5}.,الصف رقم {0}: الرقم التسلسلي {1} للصنف {2} غير متاح في {3} {4} أو ربما يكون محجوزًا في {5} آخر.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
