app,msgid,msgstr,context,locations,comments,skip,review_notes
erpnext,"To use a different finance book, please uncheck 'Include Default FB Entries'",,,erpnext/accounts/doctype/financial_report_template/financial_report_engine.py:683; erpnext/accounts/report/financial_statements.py:624; erpnext/accounts/report/general_ledger/general_ledger.py:310; erpnext/accounts/report/trial_balance/trial_balance.py:310,,,
erpnext,Total Amount Due,إجمالي المبلغ المستحق,,erpnext/accounts/report/accounts_receivable_summary/accounts_receivable_summary.py:174,,,reviewed_glossary
erpnext,Total Taxes and Charges,إجمالي الضرائب والرسوم,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None; erpnext/accounts/doctype/pos_closing_entry/pos_closing_entry.json:None; erpnext/accounts/doctype/pos_invoice/pos_invoice.json:None; erpnext/accounts/doctype/purchase_invoice/purchase_invoice.json:None; erpnext/accounts/doctype/sales_invoice/sales_invoice.json:None; erpnext/buying/doctype/purchase_order/purchase_order.json:None; erpnext/buying/doctype/supplier_quotation/supplier_quotation.json:None; erpnext/selling/doctype/quotation/quotation.json:None; erpnext/selling/doctype/sales_order/sales_order.json:None; erpnext/stock/doctype/delivery_note/delivery_note.json:None; erpnext/stock/doctype/purchase_receipt/purchase_receipt.json:None,Label of the total_taxes_and_charges (Currency) field in DocType 'Payment | Entry' | Label of the total_taxes_and_charges (Currency) field in DocType 'POS | Closing Entry' | Invoice' | Label of the total_taxes_and_charges (Currency) field in DocType 'Purchase | Label of the total_taxes_and_charges (Currency) field in DocType 'Sales | Order' | Label of the total_taxes_and_charges (Currency) field in DocType 'Supplier | Quotation' | Label of the total_taxes_and_charges (Currency) field in DocType 'Quotation' | Label of the total_taxes_and_charges (Currency) field in DocType 'Delivery | Note' | Receipt',,reviewed_glossary
erpnext,Unset Matched Payment Request,إلغاء تعيين طلب الدفع المطابق,,erpnext/accounts/doctype/payment_entry/payment_entry.js:1706,,,reviewed_glossary
erpnext,View Exchange Gain/Loss Journals,عرض قيود أرباح/خسائر الصرف,,erpnext/accounts/doctype/payment_entry/payment_entry.js:247,,,reviewed_glossary
erpnext,Voucher Subtype,النوع الفرعي للسند,,erpnext/accounts/doctype/gl_entry/gl_entry.json:None; erpnext/accounts/report/general_ledger/general_ledger.py:740,Label of the voucher_subtype (Small Text) field in DocType 'GL Entry',,reviewed_glossary
erpnext,With Period Closing Entry For Opening Balances,,,erpnext/accounts/report/consolidated_trial_balance/consolidated_trial_balance.js:63; erpnext/accounts/report/trial_balance/trial_balance.js:83,,,
erpnext,You cannot create/amend any accounting entries till this date.,,,erpnext/accounts/general_ledger.py:813,,,
erpnext,paid to,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:1310,,,
erpnext,{0} has Payment Term based allocation enabled. Select a Payment Term for Row #{1} in Payment References section,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:447,,,
erpnext,{0} is mandatory for account {1},,,erpnext/accounts/doctype/payment_ledger_entry/payment_ledger_entry.py:99; erpnext/accounts/general_ledger.py:837,,,
erpnext,{0} until {1},,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:36,,,
erpnext,{0} {1} has already been fully paid.,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:457,,,
erpnext,{0} {1} has already been partly paid. Please use the 'Get Outstanding Invoice' or the 'Get Outstanding Orders' button to get the latest outstanding amounts.,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:467,,,
erpnext,{0} {1} is on hold,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:700,,,
