msgid,msgstr,context,locations,comments,review_notes
Locked,مقفل,,construction/construction/doctype/boq_header/boq_header.json:None,Option for the 'Status' (Select) field in DocType 'BOQ Header',
Locked By,مقفل بواسطة,,construction/construction/doctype/boq_header/boq_header.json:None,Label of the locked_by (Link) field in DocType 'BOQ Header',
Locked Date,تاريخ القفل,,construction/construction/doctype/boq_header/boq_header.json:None,Label of the locked_date (Datetime) field in DocType 'BOQ Header',
Login Box Position,موضع مربع تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_box_position (Select) field in DocType 'Construction | Theme',
Login Button Background,خلفية زر تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_btn_bg (Color) field in DocType 'Construction Theme',
Login Button Hover Background,خلفية زر تسجيل الدخول عند المرور,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_btn_hover_bg (Color) field in DocType 'Construction | Theme',
Login Button Hover Text,نص زر تسجيل الدخول عند المرور,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_btn_hover_text (Color) field in DocType 'Construction | Theme',
Login Button Text,نص زر تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_btn_text (Color) field in DocType 'Construction Theme',
Login Heading Text Color,لون عنوان تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_heading_text_color (Color) field in DocType 'Construction | Theme',
Login Logo Inside Box,شعار تسجيل الدخول داخل المربع,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_logo_inside_box (Check) field in DocType 'Construction | Theme',
Login Page,صفحة تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_page_tab (Tab Break) field in DocType 'Construction | Theme',
Login Page Background Color,لون خلفية صفحة تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_page_bg_color (Color) field in DocType 'Construction | Theme',
Login Page Background Color is required when Login Page Background Type is set to 'Solid Color'.,لون خلفية صفحة تسجيل الدخول مطلوب عندما يكون نوع الخلفية 'لون ثابت'.,,construction/construction/doctype/construction_theme/construction_theme.py:218,,
Login Page Background Image,صورة خلفية صفحة تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_page_bg_image (Attach Image) field in DocType | 'Construction Theme',
Login Page Background Image is required when Login Page Background Type is set to 'Background Image'.,صورة خلفية صفحة تسجيل الدخول مطلوبة عندما يكون نوع الخلفية 'صورة خلفية'.,,construction/construction/doctype/construction_theme/construction_theme.py:211,,
Login Page Background Image was set to public. Private files cannot be accessed on the login page.,تم جعل صورة خلفية صفحة تسجيل الدخول عامة. لا يمكن الوصول إلى الملفات الخاصة في صفحة تسجيل الدخول.,,construction/construction/doctype/construction_theme/construction_theme.py:251,,
Login Page Background Type,نوع خلفية صفحة تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_page_bg_type (Select) field in DocType 'Construction | Theme',
Login Page Title,عنوان صفحة تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_page_title (Data) field in DocType 'Construction Theme',
Login Page Title must not exceed 30 characters. Current length: {0},يجب ألا يتجاوز عنوان صفحة تسجيل الدخول 30 حرفا. الطول الحالي: {0},,construction/construction/doctype/construction_theme/construction_theme.py:228,,
Login Tab Background Color,لون خلفية تبويب تسجيل الدخول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the login_tab_bg_color (Color) field in DocType 'Construction | Theme',
Logo URL,رابط الشعار,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the logo_url (Attach Image) field in DocType 'Construction Theme',
"Main brand color (buttons, indicators)",لون الهوية الرئيسي (الأزرار والمؤشرات),,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Accent Primary' (Color) field in DocType 'Construction | Theme',
Max 30 characters,30 حرفا كحد أقصى,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Login Page Title' (Data) field in DocType 'Construction | Theme',
Maximum number of themes shown in theme switcher dropdown,الحد الأقصى لعدد السمات المعروضة في قائمة مبدل السمات,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Description of the 'Theme Switcher Limit' (Int) field in DocType 'Modern | Theme Settings',
Measured Work,أعمال مقاسة,,construction/construction/doctype/boq_item/boq_item.json:None,Option for the 'Item Type' (Select) field in DocType 'BOQ Item',
Mobile Card View,عرض البطاقات للجوال,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the mobile_card_view (Check) field in DocType 'Construction Theme',
Mobilization Cost,تكلفة التجهيز,,construction/construction/doctype/plantresource/plant_resource.json:None,Label of the mobilization_cost (Currency) field in DocType 'PlantResource',
Modern Theme Settings,إعدادات السمة الحديثة,,construction/config/workspace_sidebar_items.json:None; construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of a Workspace Sidebar Item | Name of a DocType,
Modern Theme Settings saved successfully,تم حفظ إعدادات السمة الحديثة بنجاح,,construction/api/theme_api.py:389,,
"Muted text, descriptions",النصوص والأوصاف الثانوية,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Text Secondary' (Color) field in DocType 'Construction | Theme',
Navbar,شريط التنقل,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the navbar_tab (Tab Break) field in DocType 'Construction Theme',
Navbar Background,خلفية شريط التنقل,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the navbar_bg (Color) field in DocType 'Construction Theme',
Navbar Text Color,لون نص شريط التنقل,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the navbar_text_color (Color) field in DocType 'Construction Theme',
No companies assigned. Contact your administrator.,لا توجد شركات مسندة. تواصل مع مدير النظام.,,construction/public/js/scope_context_ui.js:137,,
No options available,لا توجد خيارات متاحة,,construction/public/js/overrides/ct_link_control.js:122,,
No results,لا توجد نتائج,,construction/public/js/overrides/ct_link_control.js:201; construction/public/js/overrides/ct_select_control.js:138,,
None,لا شيء,,construction/public/js/overrides/ct_link_control.js:139,,
Not authorized,غير مصرح,,construction/api/scope_context_api.py:312,,
Not authorized: Company '{0}',غير مصرح: الشركة '{0}',,construction/api/scope_context_api.py:133,,
Not authorized: Cost Center '{0}',غير مصرح: مركز التكلفة '{0}',,construction/api/scope_context_api.py:135,,
Not authorized: Department '{0}',غير مصرح: القسم '{0}',,construction/api/scope_context_api.py:139,,
Not authorized: Project '{0}',غير مصرح: المشروع '{0}',,construction/api/scope_context_api.py:137,,
Not permitted,غير مسموح,,construction/api/theme_api.py:343; construction/api/theme_api.py:376,,
Not permitted to create {0},غير مسموح بإنشاء {0},,construction/api/scope_context_api.py:297,,
Not permitted to delete this document,غير مسموح بحذف هذا المستند,,construction/api/modern_form_api.py:215,,
Not permitted to update this document,غير مسموح بتحديث هذا المستند,,construction/api/modern_form_api.py:171,,
Note: This is a Group node. BOQ Items are not created for groups.,ملاحظة: هذه عقدة مجموعة. لا يتم إنشاء بنود جدول كميات للمجموعات.,,construction/construction/doctype/boq_structure/boq_structure.js:17,,
Notes,ملاحظات,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of the notes (Text) field in DocType 'Modern Theme Settings',
Number Card Background,خلفية بطاقة الرقم,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the number_card_bg (Color) field in DocType 'Construction Theme',
Number Card Border,حدود بطاقة الرقم,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the number_card_border (Color) field in DocType 'Construction | Theme',
Number Card Text,نص بطاقة الرقم,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the number_card_text (Color) field in DocType 'Construction Theme',
Only one theme can be the default dark theme. '{0}' is already set as default.,يمكن تعيين سمة واحدة فقط كسمة داكنة افتراضية. '{0}' معينة بالفعل كافتراضية.,,construction/construction/doctype/construction_theme/construction_theme.py:94,,
Only one theme can be the default light theme. '{0}' is already set as default.,يمكن تعيين سمة واحدة فقط كسمة فاتحة افتراضية. '{0}' معينة بالفعل كافتراضية.,,construction/construction/doctype/construction_theme/construction_theme.py:83,,
Open,مفتوح,,construction/public/js/boq_structure_tree.js:118,,
Operating Cost/Hour,تكلفة التشغيل/ساعة,,construction/construction/doctype/plantresource/plant_resource.json:None,Label of the operating_cost_hourly (Currency) field in DocType | 'PlantResource',
"Output per day (e.g., 10 m2/day)",الإنتاج اليومي (مثال: 10 م2/يوم),,construction/construction/doctype/costitem/cost_item.json:None,Description of the 'Base Productivity' (Float) field in DocType 'CostItem',
Overhead %,نسبة المصاريف غير المباشرة %,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the overhead_pct (Percent) field in DocType 'BOQ Item',
Overhead Amount,قيمة المصاريف غير المباشرة,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the overhead_amount (Currency) field in DocType 'BOQ Item',
Owner File Ref,مرجع ملف المالك,,construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None,Label of the owner_file_ref (Data) field in DocType 'BOQ Item' | Label of the owner_file_ref (Data) field in DocType 'BOQ Structure',
Owner Page,صفحة المالك,,construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None,Label of the owner_page (Data) field in DocType 'BOQ Item' | Label of the owner_page (Data) field in DocType 'BOQ Structure',
Owner Ref No,رقم مرجع المالك,,construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None,Label of the owner_ref_no (Data) field in DocType 'BOQ Item' | Label of the owner_ref_no (Data) field in DocType 'BOQ Structure',
Owner Reference,مرجع المالك,,construction/construction/doctype/boq_structure/boq_structure.json:None,Label of the sb_owner (Section Break) field in DocType 'BOQ Structure',
Ownership Cost/Hour,تكلفة الملكية/ساعة,,construction/construction/doctype/plantresource/plant_resource.json:None,Label of the ownership_cost_hourly (Currency) field in DocType | 'PlantResource',
PDF - Full BOQ,PDF - جدول كميات كامل,,construction/construction/doctype/boq_header/boq_header.js:287; construction/construction/doctype/boq_structure/boq_structure_tree.js:193,,
PDF - Header Only,PDF - الرأس فقط,,construction/construction/doctype/boq_header/boq_header.js:270,,
Parent Structure,الهيكل الأصل,,construction/construction/doctype/boq_structure/boq_structure.json:None,Label of the parent_structure (Link) field in DocType 'BOQ Structure',
Pending Review,قيد المراجعة,,construction/construction/doctype/costitem/cost_item.json:None,Option for the 'Status' (Select) field in DocType 'CostItem',
PlantResource,مورد معدات,,construction/construction/doctype/plantresource/plant_resource.json:None,Name of a DocType,
Please select a BOQ Header first.,يرجى اختيار رأس جدول الكميات أولا.,,construction/construction/doctype/boq_structure/boq_structure_tree.js:175; construction/construction/doctype/boq_structure/boq_structure_tree.js:197,,
Preview,معاينة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the preview_tab (Tab Break) field in DocType 'Construction Theme',
Preview Palette,لوحة المعاينة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the preview_colors (JSON) field in DocType 'Construction Theme',
Preview Theme,معاينة السمة,,construction/construction/doctype/construction_theme/construction_theme.js:8,,
Preview shows approximate rendering. Save and apply theme to see full effect.,تعرض المعاينة شكلا تقريبيا. احفظ وطبق السمة لرؤية التأثير الكامل.,,construction/construction/doctype/construction_theme/construction_theme.js:156,,
Pricing,تسعير,,construction/construction/doctype/boq_header/boq_header.json:None,Option for the 'Status' (Select) field in DocType 'BOQ Header',
Primary Button Background,خلفية الزر الأساسي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the primary_btn_bg (Color) field in DocType 'Construction Theme',
Primary Button Hover Background,خلفية الزر الأساسي عند المرور,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the primary_btn_hover_bg (Color) field in DocType 'Construction | Theme',
Primary Button Hover Text,نص الزر الأساسي عند المرور,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the primary_btn_hover_text (Color) field in DocType 'Construction | Theme',
Primary Button Text,نص الزر الأساسي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the primary_btn_text (Color) field in DocType 'Construction Theme',
Primary Color,اللون الأساسي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the primary_color (Color) field in DocType 'Construction Theme',
Prime Cost,تكلفة أولية,,construction/construction/doctype/boq_item/boq_item.json:None,Option for the 'Item Type' (Select) field in DocType 'BOQ Item',
Print,طباعة,,construction/construction/doctype/boq_structure/boq_structure.js:68,,
Print - Full BOQ,طباعة - جدول كميات كامل,,construction/construction/doctype/boq_header/boq_header.js:311,,
Print - Header Only,طباعة - الرأس فقط,,construction/construction/doctype/boq_header/boq_header.js:303,,
Profit %,نسبة الربح %,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the profit_pct (Percent) field in DocType 'BOQ Item',
Profit Amount,قيمة الربح,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the profit_amount (Currency) field in DocType 'BOQ Item',
Project,المشروع,,construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None; construction/construction/doctype/boq_structure/boq_structure_tree.js:10; construction/construction/doctype/user_scope_context/user_scope_context.json:None; construction/public/js/boq_structure_tree.js:14,Label of the project (Link) field in DocType 'BOQ Header' | Label of the project (Data) field in DocType 'BOQ Structure' | Label of the project (Link) field in DocType 'User Scope Context',
Project Manager,مدير المشروع,,construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None; construction/construction/doctype/costitem/cost_item.json:None,Name of a role,
Project Name,اسم المشروع,,construction/construction/doctype/boq_header/boq_header.json:None,Label of the project_name (Data) field in DocType 'BOQ Header',
Provisional Sum,مبلغ احتياطي,,construction/construction/doctype/boq_item/boq_item.json:None,Option for the 'Item Type' (Select) field in DocType 'BOQ Item',
Quantity,الكمية,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the quantity (Float) field in DocType 'BOQ Item',
Quantity Certified,الكمية المعتمدة,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the quantity_certified (Float) field in DocType 'BOQ Item',
Quantity Executed,الكمية المنفذة,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the quantity_executed (Float) field in DocType 'BOQ Item',
Quantity and Pricing,الكمية والتسعير,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the sb_quantity (Section Break) field in DocType 'BOQ Item',
Read-Only,للقراءة فقط,,construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None,Name of a role,
Resource Code,كود المورد,,construction/construction/doctype/plantresource/plant_resource.json:None,Label of the resource_code (Data) field in DocType 'PlantResource',
Right,يمين,,construction/construction/doctype/construction_theme/construction_theme.json:None,Option for the 'Login Box Position' (Select) field in DocType 'Construction | Theme',
Scope Context Settings Help,مساعدة إعدادات سياق النطاق,,construction/construction/doctype/construction_settings/construction_settings.json:None,Label of the scope_context_settings_help (HTML) field in DocType | 'Construction Settings',
Scope Dimensions,أبعاد النطاق,,construction/construction/doctype/construction_settings/construction_settings.json:None,Label of the scope_dimensions_section (Section Break) field in DocType | 'Construction Settings',
Scope Hierarchy,هيكل النطاق,,construction/construction/doctype/construction_settings/construction_settings.json:None,Label of the scope_hierarchy_ui (HTML) field in DocType 'Construction | Settings',
Scope Hierarchy Management,إدارة هيكل النطاق,,construction/construction/doctype/construction_settings/construction_settings.json:None,Label of the scope_hierarchy_section (Section Break) field in DocType | 'Construction Settings',
Scope Management,إدارة النطاق,,construction/config/workspace_sidebar_items.json:None,Label of a Workspace Sidebar Item,
Scope Version,إصدار النطاق,,construction/construction/doctype/user_scope_context/user_scope_context.json:None,Label of the scope_version (Int) field in DocType 'User Scope Context',
Scope filter disabled for {0},تم تعطيل عامل تصفية النطاق لـ {0},,construction/public/js/scope_context_list_filter.js:103,,
Scope filter enabled for {0},تم تمكين عامل تصفية النطاق لـ {0},,construction/public/js/scope_context_list_filter.js:110,,
Search…,بحث...,,construction/public/js/overrides/ct_link_control.js:92; construction/public/js/overrides/ct_select_control.js:86,,
Secondary Button Background,خلفية الزر الثانوي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the secondary_btn_bg (Color) field in DocType 'Construction Theme',
Secondary Button Hover Background,خلفية الزر الثانوي عند المرور,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the secondary_btn_hover_bg (Color) field in DocType 'Construction | Theme',
Secondary Button Hover Text,نص الزر الثانوي عند المرور,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the secondary_btn_hover_text (Color) field in DocType 'Construction | Theme',
Secondary Button Text,نص الزر الثانوي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the secondary_btn_text (Color) field in DocType 'Construction | Theme',
"Secondary actions, badges",الإجراءات والشارات الثانوية,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Accent Secondary' (Color) field in DocType 'Construction | Theme',
Select BOQ Header,اختر رأس جدول الكميات,,construction/construction/doctype/boq_structure/boq_structure_tree.js:16,,
Select Your Working Company,اختر شركة العمل,,construction/public/js/scope_context_ui.js:148,,
Select…,اختر...,,construction/public/js/overrides/ct_link_control.js:111; construction/public/js/overrides/ct_select_control.js:104; construction/public/js/overrides/ct_select_control.js:210,,
Semantic Colors,الألوان الدلالية,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the semantic_colors_tab (Tab Break) field in DocType 'Construction | Theme',
Sidebar Background,خلفية الشريط الجانبي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the sidebar_bg (Color) field in DocType 'Construction Theme',
Single emoji displayed in theme switcher,رمز تعبيري واحد يظهر في مبدل السمات,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Emoji Icon' (Data) field in DocType 'Construction Theme',
Site Engineer,مهندس الموقع,,construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None,Name of a role,
Solid Color,لون ثابت,,construction/construction/doctype/construction_theme/construction_theme.json:None,Option for the 'Login Page Background Type' (Select) field in DocType | 'Construction Theme',
Standard Frappe Dark theme,سمة Frappe الداكنة القياسية,,construction/fixtures/construction_theme.json:None,Value of description in Construction Theme fixture,
Standard Frappe Light theme,سمة Frappe الفاتحة القياسية,,construction/fixtures/construction_theme.json:None,Value of description in Construction Theme fixture,
Status,الحالة,,construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/costitem/cost_item.json:None,Label of the status (Select) field in DocType 'BOQ Header' | Label of the status (Select) field in DocType 'CostItem',
Status can only move forward: Draft → Pricing → Frozen → Locked.,يمكن للحالة التقدم فقط: مسودة -> تسعير -> مجمد -> مقفل.,,construction/construction/doctype/boq_header/boq_header.py:29,,
Structure,الهيكل,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the structure (Link) field in DocType 'BOQ Item',
Subtle dividers - auto-calculated if blank,فواصل خفيفة - تحسب تلقائيا إذا كانت فارغة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Border Color' (Color) field in DocType 'Construction | Theme',
Success Color,لون النجاح,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the success_color (Color) field in DocType 'Construction Theme',
Surface Background,خلفية السطح,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the surface_bg (Color) field in DocType 'Construction Theme',
System Manager,مدير النظام,,construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None; construction/construction/doctype/construction_settings/construction_settings.json:None; construction/construction/doctype/construction_theme/construction_theme.json:None; construction/construction/doctype/costitem/cost_item.json:None; construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None; construction/construction/doctype/plantresource/plant_resource.json:None; construction/construction/doctype/user_desk_theme/user_desk_theme.json:None; construction/construction/doctype/user_scope_context/user_scope_context.json:None,Name of a role,
System themes cannot be deleted. Deactivate them instead.,لا يمكن حذف سمات النظام. قم بإلغاء تنشيطها بدلا من ذلك.,,construction/construction/doctype/construction_theme/construction_theme.py:450,,
TBD,سيحدد لاحقا,,construction/construction/doctype/boq_item/boq_item.json:None,Option for the 'Item Type' (Select) field in DocType 'BOQ Item',
Table Body Background,خلفية جسم الجدول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the table_body_bg (Color) field in DocType 'Construction Theme',
Table Body Text,نص جسم الجدول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the table_body_text (Color) field in DocType 'Construction Theme',
Table Header Background,خلفية رأس الجدول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the table_header_bg (Color) field in DocType 'Construction Theme',
Table Header Text,نص رأس الجدول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the table_header_text (Color) field in DocType 'Construction Theme',
Table View,عرض الجدول,,construction/construction/doctype/boq_header/boq_header.js:222,,
Tables,الجداول,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the tables_tab (Tab Break) field in DocType 'Construction Theme',
Tender,مناقصة,,construction/construction/doctype/boq_header/boq_header.json:None,Option for the 'BOQ Type' (Select) field in DocType 'BOQ Header',
Text Primary,النص الأساسي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the text_primary (Color) field in DocType 'Construction Theme',
Text Secondary,النص الثانوي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the text_secondary (Color) field in DocType 'Construction Theme',
The user these theme settings apply to,المستخدم الذي تنطبق عليه إعدادات السمة هذه,,construction/construction/doctype/user_desk_theme/user_desk_theme.json:None,Description of the 'User' (Link) field in DocType 'User Desk Theme',
Theme Configuration,تهيئة السمة,,construction/workspace/construction/construction.json:None,Label of a Link in the Construction Workspace | Label of a shortcut in the Construction Workspace,
Theme Name,اسم السمة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the theme_name (Data) field in DocType 'Construction Theme',
Theme Preview,معاينة السمة,,construction/construction/doctype/construction_theme/construction_theme.js:136,,
Theme Settings,إعدادات السمة,,construction/config/workspace_sidebar_items.json:None; construction/workspace/construction/construction.json:None,Label of a Workspace Sidebar Item | Label of a Card Break in the Construction Workspace | Label of a Link in the Construction Workspace | Label of a shortcut in the Construction Workspace,
Theme Switcher Limit,حد مبدل السمات,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of the theme_switcher_limit (Int) field in DocType 'Modern Theme | Settings',
Theme Type,نوع السمة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the theme_type (Select) field in DocType 'Construction Theme',
Theme settings saved successfully,تم حفظ إعدادات السمة بنجاح,,construction/api/theme_api.py:327,,
Title,العنوان,,construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None; construction/construction/doctype/boq_structure/boq_structure_tree.js:38; construction/construction/doctype/costitem/cost_item.json:None; construction/public/js/boq_structure_tree.js:39,Label of the title (Data) field in DocType 'BOQ Header' | Label of the title (Data) field in DocType 'BOQ Structure' | Label of the title (Data) field in DocType 'CostItem',
Toggle Scope Filter,تبديل عامل تصفية النطاق,,construction/public/js/scope_context_list_filter.js:94,,
Total Budgeted Cost,إجمالي التكلفة المدرجة بالموازنة,,construction/construction/doctype/boq_header/boq_header.json:None,Label of the total_budgeted_cost (Currency) field in DocType 'BOQ Header',
Total Contract Value,إجمالي قيمة العقد,,construction/construction/doctype/boq_header/boq_header.json:None,Label of the total_contract_value (Currency) field in DocType 'BOQ Header',
Total Direct Cost,إجمالي التكلفة المباشرة,,construction/construction/doctype/costitem/cost_item.json:None,Label of the total_direct_cost (Currency) field in DocType 'CostItem',
Total Estimated Value,إجمالي القيمة المقدرة,,construction/construction/doctype/boq_header/boq_header.json:None,Label of the total_estimated_value (Currency) field in DocType 'BOQ Header',
Tree View,عرض الشجرة,,construction/construction/doctype/boq_header/boq_header.js:212,,
True for the 4 Phase 1 themes - prevents deletion,صحيح لسمات المرحلة الأولى الأربع - يمنع الحذف,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Is System Theme' (Check) field in DocType 'Construction | Theme',
Unique identifier for this theme,معرف فريد لهذه السمة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Theme Name' (Data) field in DocType 'Construction Theme',
Unit,الوحدة,,construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/costitem/cost_item.json:None,Label of the unit (Link) field in DocType 'BOQ Item' | Label of the unit (Link) field in DocType 'CostItem',
Use site default themes instead of custom preferences,استخدام سمات الموقع الافتراضية بدلا من التفضيلات المخصصة,,construction/construction/doctype/user_desk_theme/user_desk_theme.json:None,Description of the 'Inherit from Site' (Check) field in DocType 'User Desk | Theme',
Used when user's system is in dark mode,يستخدم عندما يكون نظام المستخدم في الوضع الداكن,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Is Default Dark Theme' (Check) field in DocType | 'Construction Theme',
Used when user's system is in light mode,يستخدم عندما يكون نظام المستخدم في الوضع الفاتح,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Is Default Light Theme' (Check) field in DocType | 'Construction Theme',
User,المستخدم,,construction/construction/doctype/user_desk_theme/user_desk_theme.json:None; construction/construction/doctype/user_scope_context/user_scope_context.json:None,Label of the user (Link) field in DocType 'User Desk Theme' | Label of the user (Link) field in DocType 'User Scope Context',
User Desk Theme,سمة مكتب المستخدم,,construction/construction/doctype/user_desk_theme/user_desk_theme.json:None,Name of a DocType,
User Preferences,تفضيلات المستخدم,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of the section_break_1 (Section Break) field in DocType 'Modern Theme | Settings',
User Scope Context,سياق نطاق المستخدم,,construction/config/workspace_sidebar_items.json:None; construction/construction/doctype/user_scope_context/user_scope_context.json:None,Label of a Workspace Sidebar Item | Name of a DocType,
User theme overrides are not allowed by administrator,تجاوزات سمات المستخدم غير مسموحة من مدير النظام,,construction/api/theme_api.py:306,,
Variation,تغيير,,construction/construction/doctype/boq_header/boq_header.json:None,Option for the 'BOQ Type' (Select) field in DocType 'BOQ Header',
Version,الإصدار,,construction/construction/doctype/boq_header/boq_header.json:None,Label of the version (Int) field in DocType 'BOQ Header',
View,عرض,,construction/construction/doctype/boq_structure/boq_structure.js:31; construction/construction/doctype/boq_structure/boq_structure_tree.js:159; construction/construction/doctype/boq_structure/boq_structure_tree.js:167; construction/public/js/construction_export_menu.js:134,,
WBS Code,كود هيكل تقسيم العمل,,construction/construction/doctype/boq_structure/boq_structure.json:None,Label of the wbs_code (Data) field in DocType 'BOQ Structure',
Warning Color,لون التحذير,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the warning_color (Color) field in DocType 'Construction Theme',
Warning: Contrast ratio is below WCAG AA (4.5:1),تحذير: نسبة التباين أقل من WCAG AA (4.5:1),,construction/construction/doctype/construction_theme/construction_theme.js:37,,
"Warning: The following color pairs have contrast ratios below WCAG AA standard (4.5:1):
{0}

Consider adjusting colors for better accessibility.","تحذير: أزواج الألوان التالية لها نسب تباين أقل من معيار WCAG AA (4.5:1):
{0}

يرجى تعديل الألوان لتحسين إمكانية الوصول.",,construction/construction/doctype/construction_theme/construction_theme.py:337,,
Widgets,الأدوات,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the widgets_tab (Tab Break) field in DocType 'Construction Theme',
Will be converted to Link field when CostItem DocType is deployed,سيتم تحويله إلى حقل رابط عند نشر DocType بند التكلفة,,construction/construction/doctype/boq_item/boq_item.json:None,Description of the 'Cost Item (Placeholder)' (Data) field in DocType 'BOQ | Item',
